group,account,label
activities,ACT_P001,P001
activities,ACT_P002,P002
activities,ACT_P003,P003
activities,ACT_P004,P004
activities,ACT_P005,P005
activities,ACT_P006,P006
activities,ACT_P007,P007
activities,ACT_P008,P008
activities,ACT_P009,P009
activities,ACT_P010,P010
activities,ACT_P011,P011
activities,ACT_P012,P012
activities,ACT_P013,P013
activities,ACT_P014,P014
activities,ACT_P015,P015
activities,ACT_P016,P016
activities,ACT_P017,P017
activities,ACT_P018,P018
activities,ACT_P019,P019
activities,ACT_P020,P020
activities,ACT_P021,P021
activities,ACT_P022,P022
activities,ACT_P023,P023
activities,ACT_P024,P024
activities,ACT_P025,P025
activities,ACT_P026,P026
activities,ACT_P027,P027
activities,ACT_P028,P028
activities,ACT_P029,P029
activities,ACT_P030,P030
activities,ACT_P031,P031
activities,ACT_P032,P032
activities,ACT_P033,P033
activities,ACT_P034,P034
activities,ACT_P035,P035
activities,ACT_P036,P036
activities,ACT_P037,P037
activities,ACT_P038,P038
activities,ACT_P039,P039
activities,ACT_P040,P040
activities,ACT_P041,P041
activities,ACT_P042,P042
activities,ACT_P043,P043
activities,ACT_P044,P044
activities,ACT_P045,P045
activities,ACT_P046,P046
activities,ACT_P047,P047
activities,ACT_P048,P048
activities,ACT_P049,P049
activities,ACT_P050,P050
activities,ACT_P051,P051
activities,ACT_P052,P052
activities,ACT_P053,P053
activities,ACT_P054,P054
activities,ACT_P055,P055
activities,ACT_P056,P056
activities,ACT_P057,P057
activities,ACT_P058,P058
activities,ACT_P059,P059
activities,ACT_P060,P060
activities,ACT_P061,P061
activities,ACT_P062,P062
activities,ACT_P063,P063
activities,ACT_P064,P064
activities,ACT_P065,P065
activities,ACT_P066,P066
activities,ACT_P067,P067
activities,ACT_P068,P068
activities,ACT_P069,P069
activities,ACT_P070,P070
activities,ACT_P071,P071
activities,ACT_P072,P072
activities,ACT_P073,P073
activities,ACT_P074,P074
activities,ACT_P075,P075
activities,ACT_P076,P076
activities,ACT_P077,P077
activities,ACT_P078,P078
activities,ACT_P079,P079
activities,ACT_P080,P080
activities,ACT_P081,P081
activities,ACT_P082,P082
activities,ACT_P083,P083
activities,ACT_P084,P084
activities,ACT_P085,P085
activities,ACT_P086,P086
activities,ACT_P087,P087
activities,ACT_P088,P088
activities,ACT_P089,P089
activities,ACT_P090,P090
activities,ACT_P091,P091
activities,ACT_P092,P092
activities,ACT_P093,P093
activities,ACT_P094,P094
activities,ACT_P095,P095
activities,ACT_P096,P096
activities,ACT_P097,P097
activities,ACT_P098,P098
activities,ACT_P099,P099
activities,ACT_P100,P100
commodities,COM_P001,P001
commodities,COM_P002,P002
commodities,COM_P003,P003
commodities,COM_P004,P004
commodities,COM_P005,P005
commodities,COM_P006,P006
commodities,COM_P007,P007
commodities,COM_P008,P008
commodities,COM_P009,P009
commodities,COM_P010,P010
commodities,COM_P011,P011
commodities,COM_P012,P012
commodities,COM_P013,P013
commodities,COM_P014,P014
