paper_label,implemented,file,macro
P-1,yes,Production,NLconstraint
P-2,yes,Production,NLconstraint
P-3,yes,Production,NLconstraint
P-4,yes,Production,NLconstraint
P-5,yes,Production,NLconstraint
P-6,yes,Production,NLconstraint
P-7,yes,Production,NLconstraint
P-8,yes,Production,NLconstraint
P-9,yes,Production,NLconstraint
P-10,yes,Production,NLconstraint
P-11,yes,Production,NLconstraint
P-12,yes,Production,NLconstraint
P-13,yes,Production,NLconstraint
P-14,yes,Production,NLconstraint
P-15,yes,Production,NLconstraint
P-16,yes,Production,NLconstraint
P-17,yes,Production,NLconstraint
P-18,yes,Production,NLconstraint
P-19,yes,Production,NLconstraint
P-20,yes,Production,NLconstraint
P-21,yes,Production,NLconstraint
P-22,yes,Production,NLconstraint
P-23,yes,Production,NLconstraint
P-24,yes,Production,NLconstraint
P-25,yes,Production,NLconstraint
P-26,yes,Production,NLconstraint
P-27,yes,Production,NLconstraint
P-28,yes,Production,NLconstraint
P-29,yes,Production,NLconstraint
P-30,yes,Production,NLconstraint
P-31,yes,Production,constraint
P-32,yes,Production,constraint
P-33,yes,Production,constraint
P-34,yes,Production,NLconstraint
P-35,yes,Production,NLconstraint
P-36,yes,Production,NLconstraint
P-37,yes,Production,NLconstraint
P-38,yes,Production,NLconstraint
P-39,yes,Production,NLconstraint
P-40,yes,Production,NLconstraint
P-41,yes,Production,NLconstraint
P-42,yes,Production,NLconstraint
P-43,yes,Production,NLconstraint
P-44,yes,Production,NLconstraint
P-45,yes,Production,NLconstraint
P-46,yes,Production,NLconstraint
P-47,yes,Production,NLconstraint
P-48,yes,Production,NLconstraint
P-49,yes,Production,NLconstraint
P-50,yes,Production,NLconstraint
P-51,yes,Production,NLconstraint
P-52,yes,Production,NLconstraint
P-53,yes,Production,NLconstraint
P-54,yes,Production,NLconstraint
P-55,yes,Production,NLconstraint
P-56,yes,Production,NLconstraint
P-57,yes,Production,NLconstraint
P-58,yes,Production,NLconstraint
P-59,yes,Production,NLconstraint
P-60,yes,Production,NLconstraint
P-61,yes,Production,NLconstraint
P-62,yes,Production,NLconstraint
P-63,yes,Production,NLconstraint
P-64,yes,Production,NLconstraint
P-65,yes,Production,NLconstraint
P-66,yes,Production,NLconstraint
P-67,yes,Production,NLconstraint
P-68,yes,Production,NLconstraint
P-69,yes,Production,NLconstraint
P-70,yes,Production,NLconstraint
P-71,yes,Production,constraint
P-72,yes,Production,constraint
P-73,yes,Production,constraint
P-74,yes,Production,constraint
P-75,yes,Production,constraint
Y-1,yes,Income,constraint
Y-4,yes,Income,constraint
Y-2,yes,Income,constraint
Y-3,yes,Income,constraint
Y-5,yes,Income,constraint
Y-6,yes,Income,constraint
Y-7,yes,Income,constraint
Y-8,yes,Income,constraint
D-2,yes,Demand,NLconstraint
D-1,yes,Demand,constraint
D-3,yes,Demand,constraint
D-4,yes,Demand,NLconstraint
D-5,yes,Demand,NLconstraint
D-6,yes,Demand,NLconstraint
D-7,yes,Demand,constraint
D-8,yes,Demand,constraint
D-9,yes,Demand,constraint
T-1,yes,Trade,constraint
T-2,yes,Trade,NLconstraint
T-3,yes,Trade,NLconstraint
T-4,yes,Trade,NLconstraint
T-5,yes,Trade,NLconstraint
T-6,yes,Trade,NLconstraint
T-7,yes,Trade,NLconstraint
T-8,yes,Trade,NLconstraint
T-9,yes,Trade,NLconstraint
T-10,yes,Trade,NLconstraint
T-11,yes,Trade,constraint
T-12,yes,Trade,constraint
T-13,yes,Trade,constraint
T-14,yes,Trade,NLconstraint
T-15,yes,Trade,NLconstraint
T-16,yes,Trade,NLconstraint
T-17,yes,Trade,NLconstraint
T-18,yes,Trade,NLconstraint
T-19,yes,Trade,NLconstraint
T-20,yes,Trade,constraint
T-21,yes,Trade,constraint
T-22,yes,Trade,constraint
T-23,yes,Trade,NLconstraint
T-24,yes,Trade,NLconstraint
T-25,yes,Trade,NLconstraint
T-26,yes,Trade,constraint
T-27,yes,Trade,constraint
E-1,yes,Equilibrium,constraint
E-2,yes,Equilibrium,constraint
C-1,yes,Closure,NLconstraint
C-2,yes,Closure,constraint
C-3,yes,Closure,NLconstraint
C-4,yes,Closure,NLconstraint
C-5,yes,Closure,constraint
C-6,yes,Closure,constraint
C-7,yes,Closure,constraint
C-8,yes,Closure,constraint
C-9,yes,Closure,NLconstraint
C-10,yes,Closure,NLconstraint
C-11,yes,Closure,NLconstraint
C-12,yes,Closure,NLconstraint
F-1,yes,Factors,constraint
F-2,yes,Factors,constraint
F-3,yes,Factors,constraint
F-4,yes,Factors,NLconstraint
F-5,yes,Factors,NLconstraint
F-6,yes,Factors,NLconstraint
F-7,yes,Factors,NLconstraint
F-8,yes,Factors,NLconstraint
F-9,yes,Factors,NLconstraint
F-10,yes,Factors,NLconstraint
F-11,yes,Factors,constraint
F-12,yes,Factors,constraint
F-13,yes,Factors,NLconstraint
F-14,yes,Factors,NLconstraint
F-15,yes,Factors,NLconstraint
F-16,yes,Factors,constraint
F-17,yes,Factors,constraint
F-18,yes,Factors,NLconstraint
F-19,yes,Factors,constraint
F-20,yes,Factors,NLconstraint
F-21,yes,Factors,NLconstraint
F-22,yes,Factors,constraint
F-23,yes,Factors,NLconstraint
F-24,yes,Factors,NLconstraint
F-25,yes,Factors,constraint
F-26,yes,Factors,constraint
F-27,yes,Factors,constraint
F-28,yes,Factors,constraint
F-29,yes,Factors,constraint
F-30,yes,Factors,NLconstraint
F-32,yes,Factors,NLconstraint
F-31,yes,Factors,NLconstraint
F-33,yes,Factors,NLconstraint
M-1,yes,Other,constraint
M-2,yes,Other,constraint
M-3,yes,Other,constraint
M-4,yes,Other,constraint
M-5,yes,Other,constraint
G-1,yes,Dynamics,NLconstraint
G-2,yes,Dynamics,NLconstraint
G-4,yes,Dynamics,constraint
G-3,yes,Dynamics,NLconstraint
G-5,yes,Dynamics,NLconstraint
G-8,yes,Dynamics,NLconstraint
G-6,yes,Dynamics,NLconstraint
G-7,yes,Dynamics,NLconstraint
G-9,yes,Dynamics,NLconstraint
G-10,yes,Dynamics,NLconstraint
G-11,yes,Dynamics,NLconstraint
G-12,yes,Dynamics,NLconstraint
G-13,yes,Dynamics,NLconstraint
G-14,yes,Dynamics,NLconstraint
G-15,yes,Dynamics,NLconstraint
G-16,yes,Dynamics,NLconstraint
P-78,yes,Production,constraint
P-79,yes,Production,constraint
P-80,yes,Production,constraint
D-10,yes,Demand,NLconstraint
D-11,yes,Demand,NLconstraint
D-12,yes,Demand,NLconstraint
D-14,yes,Demand,NLconstraint
D-13,yes,Demand,NLconstraint
T-28,yes,Trade,NLconstraint
T-29,yes,Trade,NLconstraint
T-30,yes,Trade,constraint
T-31,yes,Trade,NLconstraint
T-32,yes,Trade,constraint
T-33,yes,Trade,NLconstraint
T-34,yes,Trade,NLconstraint
G-18,yes,Dynamics,NLconstraint
G-19,yes,Dynamics,constraint
G-20,yes,Dynamics,constraint
G-21,yes,Dynamics,constraint
G-22,yes,Dynamics,constraint
G-23,yes,Dynamics,NLconstraint
G-24,yes,Dynamics,NLconstraint
G-25,yes,Dynamics,constraint
G-26,yes,Dynamics,NLconstraint
G-27,yes,Dynamics,constraint
G-28,yes,Dynamics,constraint
G-29,yes,Dynamics,constraint
G-30,yes,Dynamics,constraint
H-1,yes,Accounting,constraint
H-4,yes,Accounting,constraint
H-2,yes,Accounting,constraint
H-3,yes,Accounting,constraint
H-5,yes,Accounting,constraint
H-9,yes,Accounting,constraint
H-6,yes,Accounting,constraint
H-7,yes,Accounting,constraint
H-8,yes,Accounting,constraint
H-10,yes,Accounting,constraint
H-21,yes,Accounting,constraint
H-13,yes,Accounting,constraint
H-14,yes,Accounting,constraint
H-17,yes,Accounting,constraint
H-18,yes,Accounting,constraint
H-11,yes,Accounting,constraint
H-12,yes,Accounting,constraint
H-15,yes,Accounting,constraint
H-16,yes,Accounting,constraint
H-19,yes,Accounting,constraint
H-20,yes,Accounting,constraint
H-22,yes,Accounting,constraint
H-25,yes,Accounting,constraint
H-23,yes,Accounting,constraint
H-24,yes,Accounting,constraint
H-26,yes,Accounting,constraint
H-27,yes,Accounting,constraint
H-28,yes,Accounting,constraint
H-29,yes,Accounting,constraint
H-30,yes,Accounting,constraint
H-31,yes,Accounting,constraint
H-35,yes,Accounting,constraint
H-32,yes,Accounting,constraint
H-33,yes,Accounting,constraint
H-34,yes,Accounting,constraint
