period,GDP_R1,RGDP_R1,PGDP_R1,CPI_R1,XP_total,YH_HH,YC_HH,SAV_HH,GOVREV,GEXP,INVEST,FDInv,Sg,InvSh,KS,KActual,TR,TLnd,PTLnd,PNUM,TY,FY,KY,LY_UnSkLab,LY_SkLab
1,102799.19144264884,102797.37787095874,1.0001394344213967,1.0000033286821706,102764.15695512634,50190.70231554567,36201.48337740951,13988.164972046943,6963.825779193079,8599.209166435227,13110.98102027011,13154.206637148984,-1677.0318138605987,0.994556244843231,16821.37496377723,16823.76136012099,0.9999994680025261,1111.112090990474,0.9190371049173918,1.0,1985.3737510822743,2788.7965843537186,16826.094596480525,21029.861173055753,8411.904094549718
2,102791.67144984704,102780.90702965402,1.000842282087753,1.0000198545917476,102582.98121282674,62483.89764161708,49084.62433916844,13578.909495712462,6879.082546524902,8317.088021650674,14338.886259199033,13155.625438146973,-1686.2894446416856,0.9675693967997416,29120.82275368942,29135.535373688104,0.999996620380229,1138.463943127761,0.9251822944206345,1.0,2009.1348770794543,2853.8445169835686,29149.646032254448,21434.253215457124,8574.514657724088
3,102778.56836864508,102752.397046822,1.000254558346778,1.0000485059227586,102269.36751504205,74212.77551623352,61313.376852282454,13772.319251634704,6732.297082175163,8706.237764921323,13311.267503510035,13161.560873513496,-1702.3272613829638,0.9208624631683653,40794.364218120085,40832.0165138574,0.9999916458439326,1185.9817555694194,1.00672541660827,1.0,2073.5067023799074,3013.8839830046377,40867.1242136538,21801.033152060652,8724.844275716388
4,102778.47978931827,102752.41584440514,1.0021040612509318,1.0000485372539738,102269.58377331455,85390.64720568433,73004.09787522028,13674.926471633955,6732.284029222452,7828.269108606331,23929.55272298948,13165.350803578325,-1702.3314810647648,0.9208993608745657,51911.89606784756,51951.58466604214,0.9999916883403802,1186.1343466823973,0.9385859485471242,1.0,2097.946532684896,3057.653378955262,51987.70738129682,22199.16042534683,8886.419413924586
5,102778.39196195835,102752.43382912692,1.0002524847397345,1.0000485671066486,102269.77212039629,96055.10346593542,84156.80242060573,13583.85142472428,6732.271151063488,8706.301541940415,13393.282011306941,13168.96488590145,-1702.3354166765732,0.920934571440042,62477.04708757166,62518.93760510899,0.9999916458439155,1186.2741905680996,1.0099697786729105,1.0,2120.3685108597397,3092.6275709684933,62556.291445648356,22605.229627860146,9051.055755005156
6,102778.30487908928,102752.4509684136,1.0021891777430458,1.0000486107827853,102269.96633671818,106232.68105852863,94799.06490791232,13498.818505154039,6732.258263135939,7933.411245519804,31532.44436482264,13172.412097891061,-1702.3393956756984,0.9209681307673779,72517.34485359355,72561.51790061423,0.9999916881516021,1186.402940323831,0.9383693087035357,1.0,2140.9874147975374,3121.2071105000527,72600.23174285429,23019.400360026073,9218.822757987791
7,102778.21856889378,102752.4673622096,1.0021882808322233,1.0000486461309217,102270.14666460076,115948.55361869711,104957.12080579242,13419.550509992327,6732.245552826353,7933.333388052209,36062.63549475125,13175.700943268956,-1702.3431549799177,0.921000161160085,82058.92044508348,82105.40235179741,0.9999916877286789,1186.5215103515272,0.9395997589604749,1.0,2159.9879596288533,3144.9851879411613,82145.54830902214,23441.83585309079,9389.791112959554
8,102635.88289791065,102420.13891332498,1.9034807655074362,1.0009350422416317,101223.72480728882,126874.50662571976,112768.99704105804,19593.89827642304,6222.627092010497,6726.217605130483,131355.1695001974,13640.967638865597,-1892.6077087549925,0.753696278973693,89281.34890868775,90763.62679205007,0.9997801795764193,1438.9878460485668,1.307797670009401,1.0,4747.117441478668,7546.396897364317,92168.25302460969,23316.052710268115,9637.479987423561
9,102633.78705638232,102422.51539518431,1.88326737409277,1.000946087824596,101234.60466340935,136282.4990897745,122254.24742036159,20293.803277265157,6222.732931590448,6584.464747270291,157302.95206644782,13703.83206442093,-1893.0241626239276,0.7543185732956004,98169.06394300018,99803.16883383485,0.9997801992336358,1443.560499802519,1.3295144093770985,1.0,4973.283665685198,7857.391474880411,101351.04783600738,23665.058214928806,9816.589606438
10,102631.66461183419,102424.80249653637,1.8628830931017901,1.0009567109745043,101245.07090039074,145320.51633189907,131372.1498536982,20967.888778897453,6222.830070780515,6581.764686353054,184643.20286453236,13764.22986480925,-1893.4254136341451,0.7549164878141976,106668.68959048761,108452.1635197694,0.9997801992336353,1447.7567446122143,1.3483187675260015,1.0,5186.938032647601,8135.622631224408,110140.82831649628,24020.76596065411,9996.686919883598
